time,A01,A02,A03,A04,A05,A06,A07,A08,A09,B01,B02,B03,B04,B05,B06,B07,B08,B09
2021-11-19 16:15:41.635,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0,0.0,0.0
2021-11-22 19:33:23.050,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,0.0,0.0,0.0
2021-11-22 19:33:48.550,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0,0.0,0.0
2021-11-24 17:57:22.352,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0,0.0,0.0
2021-11-24 18:43:44.512,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,0.0,0.0,0.0
2021-11-24 18:43:54.614,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0,0.0,0.0
2022-01-01 11:38:55.095,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,0.0,0.0,0.0
2022-01-01 11:39:35.696,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0,0.0,0.0
2022-01-03 04:03:26.229,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,0.0,0.0,0.0
2022-01-03 04:03:49.629,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0,0.0,0.0
2022-01-03 04:03:54.369,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0,0.0,0.0
2022-01-03 05:53:13.761,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,0.0,0.0,0.0
2022-01-03 05:53:42.562,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0,0.0,0.0
2022-01-03 05:53:54.030,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0,0.0,0.0
2022-01-03 09:58:21.335,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,0.0,0.0,0.0
2022-01-03 09:58:59.035,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0,0.0,0.0
2022-01-03 12:46:06.883,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,0.0,0.0,0.0
2022-01-03 12:46:27.784,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0,0.0,0.0
2022-01-04 07:45:48.060,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,0.0,0.0,0.0
2022-01-04 07:46:29.761,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0,0.0,0.0
2022-01-16 15:15:07.275,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,0.0,0.0,0.0
2022-01-16 15:15:39.576,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0,0.0,0.0
2022-01-21 08:45:44.316,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,0.0,0.0,0.0
2022-01-21 08:47:02.900,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0,0.0,0.0
2022-01-21 09:05:26.048,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,0.0,0.0,0.0
